Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Total,Away,"16,850","3,626","7,992",31,122,"1,349","1,316",6,26,"1,963",419
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Rural,Total,"46,804","9,276","27,842",128,227,"2,196","3,914",16,100,"2,564",541
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Rural,Within the premises,"6,804","2,144","4,189",8,9,10,444, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Rural,Near the premises,"24,139","3,574","16,333",90,96,840,"2,387",10,75,601,133
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Rural,Away,"15,861","3,558","7,320",30,122,"1,346","1,083",6,25,"1,963",408
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Urban,Total,"2,791",171,"2,130",4, NaN   ,8,459,5,1, NaN   ,13
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Urban,Within the premises,584,73,454,2, NaN   , NaN   ,55, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Urban,Near the premises,"1,218",30,"1,004",1, NaN   ,5,171,5, NaN   , NaN   ,2
HH2206,29,560,5464,0,SubDistrict  Yelbarga ,Urban,Away,989,68,672,1, NaN   ,3,233, NaN   ,1, NaN   ,11
HH2206,29,560,5464,803070,Yelbarga (TP),Urban,Total,"2,791",171,"2,130",4, NaN   ,8,459,5,1, NaN   ,13
HH2206,29,560,5464,803070,Yelbarga (TP),Urban,Within the premises,584,73,454,2, NaN   , NaN   ,55, NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5464,803070,Yelbarga (TP),Urban,Near the premises,"1,218",30,"1,004",1, NaN   ,5,171,5, NaN   , NaN   ,2
HH2206,29,560,5464,803070,Yelbarga (TP),Urban,Away,989,68,672,1, NaN   ,3,233, NaN   ,1, NaN   ,11
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Total,Total,"49,972","9,381","20,022",512,"3,848","4,242","11,492",59,30,59,327
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Total,Within the premises,"7,931","3,235","3,066",46,163,114,"1,307", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Total,Near the premises,"23,797","3,566","10,106",298,"1,942","2,013","5,773",25,13,16,45
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Total,Away,"18,244","2,580","6,850",168,"1,743","2,115","4,412",34,17,43,282
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Rural,Total,"45,142","6,319","18,813",506,"3,848","4,120","11,081",53,30,55,317
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Rural,Within the premises,"6,161","1,950","2,788",41,163,113,"1,106", NaN   , NaN   , NaN   , NaN   
HH2206,29,560,5465,0,SubDistrict  Kushtagi ,Rural,Near the premises,"22,013","2,565","9,447",297,"1,942","2,010","5,657",23,13,15,44
